dt,Open,High,Low,Close,Volume
2022-11-28,3.11,3.12,3.08,3.11,173296277.0
2022-11-29,3.11,3.15,3.11,3.14,191444499.0
2022-11-30,3.14,3.16,3.12,3.15,228597084.0
2022-12-01,3.15,3.16,3.1,3.1,178381657.0
2022-12-02,3.11,3.12,3.1,3.1,111891861.0
2022-12-05,3.12,3.15,3.11,3.15,172724263.0
2022-12-06,3.14,3.16,3.13,3.15,137966224.0
2022-12-07,3.16,3.17,3.14,3.14,151704730.0
2022-12-08,3.15,3.18,3.14,3.16,149180876.0
2022-12-09,3.17,3.17,3.15,3.16,110735837.0
2022-12-12,3.15,3.16,3.13,3.13,94153702.0
2022-12-13,3.13,3.17,3.13,3.16,103497967.0
2022-12-14,3.17,3.17,3.15,3.16,112826837.0
2022-12-15,3.17,3.17,3.14,3.14,75309560.0
2022-12-16,3.14,3.18,3.13,3.18,95367357.0
2022-12-19,3.17,3.19,3.15,3.15,98533646.0
2022-12-20,3.15,3.16,3.13,3.13,105749613.0
2022-12-21,3.13,3.14,3.12,3.12,64708549.0
2022-12-22,3.14,3.16,3.12,3.14,88405874.0
2022-12-23,3.13,3.14,3.12,3.13,67185650.0
2022-12-26,3.13,3.13,3.11,3.11,74086766.0
2022-12-27,3.13,3.15,3.12,3.15,68385310.0
2022-12-28,3.15,3.17,3.14,3.16,78330948.0
2022-12-29,3.17,3.17,3.14,3.15,124477033.0
2022-12-30,3.17,3.17,3.15,3.16,122020486.0
2023-01-03,3.17,3.17,3.15,3.16,131110342.0
2023-01-04,3.16,3.21,3.16,3.2,200733667.0
2023-01-05,3.21,3.23,3.2,3.2,118047136.0
2023-01-06,3.21,3.22,3.18,3.21,125852654.0
2023-01-09,3.21,3.22,3.19,3.19,83515552.0
2023-01-10,3.2,3.2,3.18,3.18,66547032.0
2023-01-11,3.18,3.2,3.18,3.19,79022772.0
2023-01-12,3.2,3.2,3.18,3.19,85189631.0
2023-01-13,3.2,3.23,3.19,3.23,121654168.0
2023-01-16,3.23,3.25,3.21,3.21,150522392.0
2023-01-17,3.21,3.22,3.2,3.22,96610670.0
2023-01-18,3.23,3.23,3.21,3.21,77946966.0
